100000~199999,서울특별시
"200000~208999,209838,250857~250859",강원도 춘천시
"209000~20837,209840~209999",강원도 화천군
210000~214999,강원도 강릉시
215000~216999,강원도 양양군
217000~218999,강원도 속초시
219000~219999,강원도 고성군
220000~224999,강원도 원주시
225000~229999,강원도 횡성군
230000~231999,강원도 영월군
232000~232999,강원도 평창군
233000~234999,강원도 정선군
235000~235899,강원도 태백시
"235900~239999, 245000~245798, 245800~249999",강원도 삼척시
"240000~244999, 245799",강원도 동해시
"250000~250818, 250820~250856,250860~251999",강원도 홍천군
"250819, 252000~254999",강원도 인제군
255000~268999,강원도 양구군
269000~299999,강원도 철원군
300000~311999,대전광역시
312000~313999,충청남도 금산군
314000~319999,충청남도 공주시
320000~320999,충청남도 논산시
321000~322999,충청남도 계롱시
323000~324999,충청남도 부여군
325000~329999,충청남도 서천군
330000~335999,충청남도 천안시
336000~338999,충청남도 아산시
339000~339699,세종특별시
339700~339999,충청남도 연기군
340000~342999,충청남도 예산군
343000~344999,충청남도 당진시
345000~349999,충청남도 청양군
350000~354999,충청남도 홍성군
355000~355999,충청남도 보령시
356000~356999,충청남도 서산시
357000~359999,충청남도 태안군
360000~362999,충청북도 청주시
363000~364999,충청북도 청원군
365000,
